--- STARSECTOR NODE.JS SERVER (Port 8091) ---
[REQ] /debug_game.html 
[REQ] /data/config/settings.json 
[REQ] /console_log4j.properties 
[REQ] /assets.json 
[REQ] /commons-compiler-jdk.jar (bytes=0-0)
[REQ] /commons-compiler.jar (bytes=0-0)
[REQ] /fs.common_obf.jar (bytes=0-0)
[REQ] /fs.sound_obf.jar (bytes=0-0)
[REQ] /janino.jar (bytes=0-0)
[REQ] /jaxb-api-2.4.0-b180830.0359-sources.jar (bytes=0-0)
[REQ] /jaxb-api-2.4.0-b180830.0359.jar (bytes=0-0)
[REQ] /jinput.jar (bytes=0-0)
[REQ] /jogg-0.0.7.jar (bytes=0-0)
[REQ] /jorbis-0.0.15.jar (bytes=0-0)
[REQ] /json.jar (bytes=0-0)
[REQ] /log4j-1.2.9.jar (bytes=0-0)
[REQ] /lwjgl.jar (bytes=0-0)
[REQ] /lwjgl_util.jar (bytes=0-0)
[REQ] /starfarer.api.jar (bytes=0-0)
[REQ] /starfarer_obf.jar (bytes=0-0)
[REQ] /txw2-3.0.2.jar (bytes=0-0)
[REQ] /webp-imageio-0.1.6.jar (bytes=0-0)
[REQ] /xstream-1.4.10.jar (bytes=0-0)
[REQ] /resources.jar (bytes=0-0)
[REQ] /commons-compiler-jdk.jar (bytes=0-46829)
[REQ] /commons-compiler.jar (bytes=0-30594)
[REQ] /fs.common_obf.jar (bytes=262144-311802)
[REQ] /fs.common_obf.jar (bytes=131072-262143)
[REQ] /fs.common_obf.jar (bytes=0-131071)
[REQ] /fs.sound_obf.jar (bytes=0-35386)
[REQ] /janino.jar (bytes=524288-613298)
[REQ] /janino.jar (bytes=393216-524287)
[REQ] /janino.jar (bytes=0-262143)
[REQ] /jaxb-api-2.4.0-b180830.0359-sources.jar (bytes=262144-270925)
[REQ] /jaxb-api-2.4.0-b180830.0359-sources.jar (bytes=131072-262143)
[REQ] /jaxb-api-2.4.0-b180830.0359-sources.jar (bytes=0-131071)
[REQ] /jaxb-api-2.4.0-b180830.0359.jar (bytes=0-128031)
[REQ] /jinput.jar (bytes=131072-214858)
[REQ] /jinput.jar (bytes=0-131071)
[REQ] /jogg-0.0.7.jar (bytes=0-6838)
[REQ] /jorbis-0.0.15.jar (bytes=0-58916)
[REQ] /json.jar (bytes=0-44054)
[REQ] /log4j-1.2.9.jar (bytes=262144-352290)
[REQ] /log4j-1.2.9.jar (bytes=131072-262143)
[REQ] /log4j-1.2.9.jar (bytes=0-131071)
[REQ] /lwjgl.jar (bytes=1048576-1053470)
[REQ] /lwjgl.jar (bytes=917504-1048575)
[REQ] /lwjgl.jar (bytes=786432-917503)
[REQ] /lwjgl.jar (bytes=0-262143)
[REQ] /lwjgl_util.jar (bytes=131072-173910)
[REQ] /lwjgl_util.jar (bytes=0-131071)
[REQ] /starfarer.api.jar (bytes=7077888-7182556)
[REQ] /starfarer.api.jar (bytes=6946816-7077887)
[REQ] /starfarer.api.jar (bytes=6684672-6946815)
[REQ] /starfarer.api.jar (bytes=6553600-6684671)
[REQ] /starfarer.api.jar (bytes=0-262143)
[REQ] /starfarer_obf.jar (bytes=5898240-6016540)
[REQ] /starfarer_obf.jar (bytes=5767168-5898239)
[REQ] /starfarer_obf.jar (bytes=5636096-5767167)
[REQ] /starfarer_obf.jar (bytes=5505024-5636095)
[REQ] /starfarer_obf.jar (bytes=0-262143)
[REQ] /starfarer_obf.jar (bytes=262144-393215)
[REQ] /starfarer_obf.jar (bytes=2228224-2490367)
[REQ] /starfarer_obf.jar (bytes=2097152-2228223)
[REQ] /txw2-3.0.2.jar (bytes=0-72002)
[REQ] /webp-imageio-0.1.6.jar (bytes=1048576-1098330)
[REQ] /webp-imageio-0.1.6.jar (bytes=917504-1048575)
[REQ] /webp-imageio-0.1.6.jar (bytes=0-262143)
[REQ] /xstream-1.4.10.jar (bytes=524288-589802)
[REQ] /xstream-1.4.10.jar (bytes=393216-524287)
[REQ] /xstream-1.4.10.jar (bytes=0-262143)
[REQ] /resources.jar (bytes=2621440-2693794)
[REQ] /resources.jar (bytes=2490368-2621439)
[REQ] /resources.jar (bytes=2359296-2490367)
[REQ] /resources.jar (bytes=0-262143)
[REQ] /starfarer_obf.jar (bytes=4718592-4980735)
[REQ] /starfarer_obf.jar (bytes=4587520-4718591)
[REQ] /debug_game.html 
[REQ] /data/config/settings.json 
[REQ] /console_log4j.properties 
[REQ] /debug_game.html 
[REQ] /data/config/settings.json 
[REQ] /console_log4j.properties 
